name,latitude,longitude
Andorra,42.546245,1.6015540000000001
United Arab Emirates,23.424076,53.847818000000004
Afghanistan,33.93911,67.709953
Antigua and Barbuda,17.060816,-61.796428000000006
Anguilla,18.220554,-63.068615
Albania,41.153332,20.168331
Armenia,40.069099,45.038189
Netherlands Antilles,12.226078999999999,-69.060087
Angola,-11.202691999999999,17.873887
Antarctica,-75.250973,-0.071389
Argentina,-38.416097,-63.616671999999994
American Samoa,-14.270972,-170.132217
Austria,47.516231,14.550072
Australia,-25.274398,133.775136
Aruba,12.52111,-69.968338
Azerbaijan,40.143105,47.576927000000005
Bosnia and Herzegovina,43.915886,17.679076000000002
Barbados,13.193887,-59.543198
Bangladesh,23.684994,90.35633100000001
Belgium,50.503887,4.469936
Burkina Faso,12.238333,-1.561593
Bulgaria,42.733883,25.48583
Bahrain,25.930414000000003,50.637772
Burundi,-3.3730559999999996,29.918885999999997
Benin,9.30769,2.315834
Bermuda,32.321384,-64.75737
Brunei Darussalam,4.535277,114.72766899999999
Bolivia (Plurinational State of),-16.290154,-63.588653
Brazil,-14.235004,-51.92528
Bahamas,25.03428,-77.39628
Bhutan,27.514162,90.433601
Bouvet Island,-54.423199,3.4131940000000003
Botswana,-22.328474,24.684866
Belarus,53.709807,27.953389
Belize,17.189877,-88.49765
Canada,56.130366,-106.34677099999999
Cocos [Keeling] Islands,-12.164164999999999,96.870956
Democratic Republic of the Congo,-4.038333000000001,21.758664000000003
Central African Republic,6.611111,20.939444
Congo,-0.228021,15.827658999999999
Switzerland,46.818188,8.227511999999999
C�te d'Ivoire,7.539989,-5.54708
Cook Islands,-21.236735999999997,-159.777671
Chile,-35.675146999999996,-71.542969
Cameroon,7.369722,12.354722
"China, mainland",35.86166,104.195397
Colombia,4.570868,-74.297333
Costa Rica,9.748917,-83.753428
Cuba,21.521757,-77.78116700000001
Cabo Verde,16.002082,-24.013197
Christmas Island,-10.447525,105.690449
Cyprus,35.126413,33.429859
Czechia,49.817492,15.472961999999999
Germany,51.165690999999995,10.451526
Djibouti,11.825138,42.590275
Denmark,56.26392,9.501785
Dominica,15.414999,-61.370976
Dominican Republic,18.735692999999998,-70.162651
Algeria,28.033886,1.6596259999999998
Ecuador,-1.8312389999999998,-78.183406
Estonia,58.595271999999994,25.013607
Egypt,26.820553000000004,30.802497999999996
Western Sahara,24.215526999999998,-12.885834
Eritrea,15.179383999999999,39.782334000000006
Spain,40.463667,-3.7492199999999998
Ethiopia,9.145,40.489672999999996
Finland,61.92411,25.748151
Fiji,-16.578193,179.414413
Falkland Islands [Islas Malvinas],-51.796253,-59.523613
Micronesia,7.425553999999999,150.550812
Faroe Islands,61.892635,-6.9118059999999995
France,46.227638,2.213749
Gabon,-0.803689,11.609444
United Kingdom,55.378051,-3.435973
Grenada,12.262775999999999,-61.604170999999994
Georgia,42.315407,43.356891999999995
French Guiana,3.9338889999999997,-53.125781999999994
Guernsey,49.465691,-2.5852779999999997
Ghana,7.946527000000001,-1.0231940000000002
Gibraltar,36.137741,-5.345374
Greenland,71.706936,-42.604303
Gambia,13.443182,-15.310139000000001
Guinea,9.945587,-9.696645
Guadeloupe,16.995971,-62.067641
Equatorial Guinea,1.6508009999999997,10.267895
Greece,39.074208,21.824312
South Georgia and the South Sandwich Islands,-54.429579000000004,-36.587909
Guatemala,15.783470999999999,-90.23075899999999
Guam,13.444304,144.793731
Guinea-Bissau,11.803749,-15.180413
Guyana,4.860416000000001,-58.93018000000001
Gaza Strip,31.354676,34.308825
"China, Hong Kong SAR",22.396428,114.10949699999999
Heard Island and McDonald Islands,-53.08181,73.50415799999999
Honduras,15.199998999999998,-86.241905
Croatia,45.1,15.2
Haiti,18.971187,-72.28521500000001
Hungary,47.162494,19.503304
Indonesia,-0.789275,113.921327
Ireland,53.41291,-8.243889999999999
Israel,31.046051000000002,34.851612
Isle of Man,54.236107,-4.548056
India,20.593684,78.96288
British Indian Ocean Territory,-6.343194,71.87651899999999
Iraq,33.223191,43.679291
Iran (Islamic Republic of),32.427908,53.68804599999999
Iceland,64.96305100000001,-19.020835
Italy,41.87194,12.56738
Jersey,49.214439,-2.13125
Jamaica,18.109581,-77.297508
Jordan,30.585164000000002,36.238414
Japan,36.204824,138.252924
Kenya,-0.023559,37.906193
Kyrgyzstan,41.20438,74.766098
Cambodia,12.565679,104.990963
Kiribati,-3.3704169999999998,-168.734039
Comoros,-11.875001,43.872219
Saint Kitts and Nevis,17.357822,-62.782998
Democratic People's Republic of Korea,40.339852,127.510093
Republic of Korea,35.907757000000004,127.766922
Kuwait,29.311659999999996,47.481766
Cayman Islands,19.513469,-80.566956
Kazakhstan,48.019573,66.923684
Lao People's Democratic Republic,19.856270000000002,102.495496
Lebanon,33.854721000000005,35.862285
Saint Lucia,13.909444,-60.97889300000001
Liechtenstein,47.166000000000004,9.555373
Sri Lanka,7.873054,80.77179699999999
Liberia,6.4280550000000005,-9.429499
Lesotho,-29.609988,28.233608
Lithuania,55.169438,23.881275
Luxembourg,49.815273,6.129583
Latvia,56.879635,24.603189
Libya,26.3351,17.228331
Morocco,31.791702,-7.09262
Monaco,43.750298,7.412841
Republic of Moldova,47.411631,28.369884999999996
Montenegro,42.708678000000006,19.37439
Madagascar,-18.766947000000002,46.869107
Marshall Islands,7.131474000000001,171.184478
The former Yugoslav Republic of Macedonia,41.608635,21.745275
Mali,17.570692,-3.9961660000000006
Myanmar,21.913965,95.956223
Mongolia,46.862496,103.84665600000001
"China, Macao SAR",22.198745000000002,113.543873
Northern Mariana Islands,17.33083,145.38468999999998
Martinique,14.641528,-61.024174
Mauritania,21.00789,-10.940835
Montserrat,16.742498,-62.187366000000004
Malta,35.937496,14.375416
Mauritius,-20.348404000000002,57.552152
Maldives,3.202778,73.22068
Malawi,-13.254307999999998,34.301525
Mexico,23.634501,-102.552784
Malaysia,4.210483999999999,101.97576600000001
Mozambique,-18.665695,35.529562
Namibia,-22.957639999999998,18.49041
New Caledonia,-20.904304999999997,165.618042
Niger,17.607789,8.081666
Norfolk Island,-29.040834999999998,167.954712
Nigeria,9.081999,8.675277000000001
Nicaragua,12.865416,-85.207229
Netherlands,52.132633,5.291266
Norway,60.472024,8.468946
Nepal,28.394857000000002,84.12400799999999
Nauru,-0.522778,166.931503
Niue,-19.054445,-169.867233
New Zealand,-40.900557,174.88597099999998
Oman,21.512583,55.923255000000005
Panama,8.537981,-80.782127
Peru,-9.189967,-75.015152
French Polynesia,-17.679742,-149.40684299999998
Papua New Guinea,-6.314993,143.95555
Philippines,12.879721,121.77401699999999
Pakistan,30.375321000000003,69.345116
Poland,51.919438,19.145135999999997
Saint Pierre and Miquelon,46.941936,-56.27111
Pitcairn Islands,-24.703615,-127.43930800000001
Puerto Rico,18.220833,-66.590149
Palestinian Territories,31.952162,35.233154
Portugal,39.399871999999995,-8.224454
Palau,7.51498,134.58252
Paraguay,-23.442503,-58.44383199999999
Qatar,25.354826,51.183884
R̩union,-21.115141,55.536384
Romania,45.943160999999996,24.96676
Serbia,44.016521000000004,21.005859
Russian Federation,61.52401,105.31875600000001
Rwanda,-1.940278,29.873888
Saudi Arabia,23.885942,45.079162
Solomon Islands,-9.645710000000001,160.156194
Seychelles,-4.679574,55.491977
Sudan,12.862807,30.217636
Sweden,60.128161,18.643501
Singapore,1.352083,103.819836
Saint Helena,-24.143473999999998,-10.030696
Slovenia,46.151241,14.995463
Svalbard and Jan Mayen,77.553604,23.670272
Slovakia,48.669026,19.699023999999998
Sierra Leone,8.460555000000001,-11.779889
San Marino,43.94236,12.457777
Senegal,14.497401000000002,-14.452361999999999
Somalia,5.152149,46.199616
Suriname,3.9193050000000005,-56.02778299999999
Sao Tome and Principe,0.18636,6.613081
El Salvador,13.794185,-88.89653
Syrian Arab Republic,34.802075,38.996815000000005
Eswatini,-26.522503000000004,31.465866
Turks and Caicos Islands,21.694025,-71.797928
Chad,15.454166,18.732207
French Southern Territories,-49.280366,69.348557
Togo,8.619543,0.824782
Thailand,15.870032,100.992541
Tajikistan,38.861034000000004,71.276093
Tokelau,-8.967363,-171.855881
Timor-Leste,-8.874217,125.727539
Turkmenistan,38.969719,59.556278000000006
Tunisia,33.886917,9.537499
Tonga,-21.178986,-175.198242
Turkey,38.963745,35.243322
Trinidad and Tobago,10.691803,-61.222503
Tuvalu,-7.109535,177.64933
"China, Taiwan Province of",23.69781,120.96051499999999
United Republic of Tanzania,-6.369028,34.888822
Ukraine,48.379433,31.16558
Uganda,1.373333,32.290275
U.S. Minor Outlying Islands,,
United States of America,37.09024,-95.712891
Uruguay,-32.522779,-55.765834999999996
Uzbekistan,41.377491,64.585262
Vatican City,41.902916,12.453389
Saint Vincent and the Grenadines,12.984305,-61.287228000000006
Venezuela (Bolivarian Republic of),6.42375,-66.58973
British Virgin Islands,18.420695000000002,-64.63996800000001
U.S. Virgin Islands,18.335765,-64.896335
Viet Nam,14.058323999999999,108.277199
Vanuatu,-15.376706,166.959158
Wallis and Futuna,-13.768752,-177.156097
Samoa,-13.759029,-172.10462900000002
Kosovo,42.602636,20.902977
Yemen,15.552726999999999,48.516388
Mayotte,-12.8275,45.166244
South Africa,-30.559482,22.937506
Zambia,-13.133897,27.849332
Zimbabwe,-19.015438,29.154857
Sudan (former),12.862807,30.217636
South Sudan,12.862807,30.217636
Serbia and Montenegro,43.362598999999996,20.190125
